,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR).1,Signed,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season,Pos. AMCBCFCMDMGKLBLWRBSS,Pos. CBCFCMDMGKLBLWRB,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2027",Years Remaining 1235,Pos. AMCBCFCMDMGKLBLMRBRW,Pos. AMCBCFCMDMGKLBLMRBRMSS,Pos. AMCBCFCMDMGKLBLMLWRBRMRW,Pos. CBCFCMDMGKLBLMLWRBRW,Pos. CBCFCMDMGKLBLWRBRW,Pos. AMCBCFCMDMGKLBRBRWSS,Pos. AMCBCFCMDMGKLBLMLWRBRWSS,Pos. CBCFCMDMGKLBRBRM,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026",Years Remaining 1234,Pos. AMCBCFCMDMGKLBLMLWRBRW,Pos. AMCBCFCMDMGKLWRBRW,Pos. AMCBCFCMDMGKLBRBRW
324,Stefano Sensi,"€ 71,154","€ 3,700,000",,"Jul 2, 2022","Jun 30, 2023",1.0,"€ 3,700,000",,M,,27.0,Starter,Italy,,,Monza,Serie A,2022-2023,,,,,,,,,,CM,,,,,,,
325,Andrea Petagna,"€ 64,038","€ 3,330,000",,"Aug 12, 2022","Jun 30, 2023",1.0,"€ 3,330,000",,F,,27.0,Starter,Italy,,,Monza,Serie A,2022-2023,,,,,,,,,,CF,,,,,,,
326,Armando Izzo,"€ 60,577","€ 3,150,000",,"Sep 1, 2022","Jun 30, 2023",1.0,"€ 3,150,000",,D,,30.0,Starter,Italy,,,Monza,Serie A,2022-2023,,,,,,,,,,CB,,,,,,,
327,Marlon,"€ 49,231","€ 2,560,000",,"Aug 5, 2022","Jun 30, 2023",1.0,"€ 2,560,000",,D,,27.0,Starter,Brazil,,,Monza,Serie A,2022-2023,,,,,,,,,,CB,,,,,,,
328,Nicolò Rovella,"€ 35,577","€ 1,850,000",,"Aug 31, 2022","Jun 30, 2023",1.0,"€ 1,850,000",,M,,21.0,Starter,Italy,,,Monza,Serie A,2022-2023,,,,,,,,,,DM,,,,,,,
329,Alessio Cragno,"€ 35,577","€ 1,850,000",,"Jul 1, 2022","Jun 30, 2023",1.0,"€ 1,850,000",,K,,28.0,Reserve,Italy,,,Monza,Serie A,2022-2023,,,,,,,,,,GK,,,,,,,
330,Gianluca Caprari,"€ 32,115","€ 1,670,000",,"Jul 21, 2022","Jun 30, 2023",1.0,"€ 1,670,000",,F,,29.0,Starter,Italy,,,Monza,Serie A,2022-2023,,,,,,,,,,SS,,,,,,,
331,Matteo Pessina,"€ 28,462","€ 1,480,000",,"Jul 6, 2022","Jun 30, 2023",1.0,"€ 1,480,000",,F,,25.0,Starter,Italy,,,Monza,Serie A,2022-2023,,,,,,,,,,AM,,,,,,,
332,Luca Caldirola,"€ 24,231","€ 1,260,000",,"Jul 17, 2021","Jun 30, 2023",1.0,"€ 1,260,000",,D,,32.0,Reserve,Italy,,,Monza,Serie A,2022-2023,,,,,,,,,,CB,,,,,,,
333,Patrick Ciurria,"€ 24,231","€ 1,260,000",,"Jul 31, 2021","Jun 30, 2024",2.0,"€ 2,520,000",,F,,27.0,Starter,Italy,,,Monza,Serie A,2022-2023,,,,,,,,,,RW,,,,,,,
334,Christian Gytkjaer,"€ 21,538","€ 1,120,000",,"Feb 7, 2022","Jun 30, 2023",1.0,"€ 1,120,000",,F,,32.0,Reserve,Denmark,,,Monza,Serie A,2022-2023,,,,,,,,,,CF,,,,,,,
335,Luca Marrone,"€ 20,385","€ 1,060,000",,"Aug 31, 2021","Jun 30, 2023",1.0,"€ 1,060,000",,D,,32.0,Reserve,Italy,,,Monza,Serie A,2022-2023,,,,,,,,,,CB,,,,,,,
336,Andrea Barberis,"€ 17,115","€ 890,000",,"Sep 1, 2020","Jun 30, 2023",1.0,"€ 890,000",,M,,29.0,Reserve,Italy,,,Monza,Serie A,2022-2023,,,,,,,,,,DM,,,,,,,
337,Samuele Birindelli,"€ 15,962","€ 830,000",,"Jul 7, 2022","Jun 30, 2026",4.0,"€ 3,320,000",,D,,23.0,Reserve,Italy,,,Monza,Serie A,2022-2023,,,,,,,,,,RB,,,,,,,
338,Michele Di Gregorio,"€ 15,962","€ 830,000",,"Jul 1, 2022","Jun 30, 2025",3.0,"€ 2,490,000",,K,,25.0,Starter,Italy,,,Monza,Serie A,2022-2023,,,,,,,,,,GK,,,,,,,
339,Valentin Antov,"€ 14,808","€ 770,000",,"Jul 1, 2022","Jun 30, 2023",1.0,"€ 770,000",,D,,22.0,Reserve,Bulgaria,,,Monza,Serie A,2022-2023,,,,,,,,,,CB,,,,,,,
340,Marco D'Alessandro,"€ 14,231","€ 740,000",,"Jan 27, 2021","Jun 30, 2023",1.0,"€ 740,000",,F,,31.0,Reserve,Italy,,,Monza,Serie A,2022-2023,,,,,,,,,,RW,,,,,,,
341,Mattia Valoti,"€ 12,500","€ 650,000",,"Jul 1, 2022","Jun 30, 2025",3.0,"€ 1,950,000",,M,,29.0,Reserve,Italy,,,Monza,Serie A,2022-2023,,,,,,,,,,CM,,,,,,,
342,Carlos Augusto,"€ 12,115","€ 630,000",,"Sep 1, 2020","Jun 30, 2024",2.0,"€ 1,260,000",,D,,24.0,Reserve,Brazil,,,Monza,Serie A,2022-2023,,,,,,,,,,LB,,,,,,,
343,Gabriel Paletta,"€ 11,731","€ 610,000",,"Nov 6, 2019","Jun 30, 2023",1.0,"€ 610,000",,D,,36.0,Reserve,Italy,,,Monza,Serie A,2022-2023,,,,,,,,,,CB,,,,,,,
344,Mirko Maric,"€ 10,192","€ 530,000",,"Sep 1, 2020","Jun 30, 2025",3.0,"€ 1,590,000",,F,,27.0,Reserve,Croatia,,,Monza,Serie A,2022-2023,,,,,,,,,,CF,,,,,,,
345,Filippo Ranocchia,"€ 8,846","€ 460,000",,"Jul 21, 2022","Jun 30, 2023",1.0,"€ 460,000",,M,,21.0,Reserve,Italy,,,Monza,Serie A,2022-2023,,,,,,,,,,CM,,,,,,,
346,Dany Mota,"€ 8,462","€ 440,000",,"Jul 1, 2020","Jun 30, 2024",2.0,"€ 880,000",,F,,24.0,Reserve,Portugal,,,Monza,Serie A,2022-2023,,,,,,,,,,CF,,,,,,,
347,Giulio Donati,"€ 6,731","€ 350,000",,"Sep 1, 2020","Jun 30, 2023",1.0,"€ 350,000",,D,,32.0,Starter,Italy,,,Monza,Serie A,2022-2023,,,,,,,,,,RB,,,,,,,
348,Eugenio Lamanna,"€ 5,385","€ 280,000",,"Jul 13, 2019","Jun 30, 2023",1.0,"€ 280,000",,K,,33.0,Reserve,Italy,,,Monza,Serie A,2022-2023,,,,,,,,,,GK,,,,,,,
349,Franco Carboni,"€ 4,615","€ 240,000",,"Jan 24, 2023","Jun 30, 2024",2.0,"€ 480,000",,D,,19.0,Reserve,Argentina,,,Monza,Serie A,2022-2023,,,,,,,,,,LB,,,,,,,
350,Andrea Colpani,"€ 3,269","€ 170,000",,"Jun 6, 2022","Jun 30, 2026",4.0,"€ 680,000",,M,,23.0,Reserve,Italy,,,Monza,Serie A,2022-2023,,,,,,,,,,CM,,,,,,,
351,Alessandro Sorrentino,"€ 2,885","€ 150,000",,"Jul 13, 2022","Jun 30, 2027",5.0,"€ 750,000",,K,,20.0,Reserve,Italy,,,Monza,Serie A,2022-2023,,,,,,,,,,GK,,,,,,,
352,José Machín,"€ 1,346","€ 70,000",,"Jul 1, 2020","Jun 30, 2024",2.0,"€ 140,000",,M,,26.0,Reserve,Equatorial Guinea,,,Monza,Serie A,2022-2023,,,,,,,,,,CM,,,,,,,
353,Samuele Vignato,€ 769,"€ 40,000",,"Feb 25, 2022","Jun 30, 2025",3.0,"€ 120,000",,F,,18.0,Reserve,Italy,,,Monza,Serie A,2022-2023,,,,,,,,,,AM,,,,,,,
354,Total,"€ 734,040","€ 38,170,000",€ 0,,,,"€ 48,510,000",€ 0,,,,,,,,Monza,Serie A,2022-2023,,,,,,,,,,,,,,,,,
355,Piotr Zielinski,"€ 124,615","€ 6,480,000",,"Aug 31, 2020","Jun 30, 2024",2.0,"€ 12,960,000","€ 100,000,000",M,,28.0,Starter,Poland,,,Napoli,Serie A,2022-2023,,,,,,,,,,,CM,,,,,,
356,Victor Osimhen,"€ 104,808","€ 5,450,000",,"Sep 1, 2020","Jun 30, 2025",3.0,"€ 16,350,000","€ 100,000,000",F,,24.0,Starter,Nigeria,,,Napoli,Serie A,2022-2023,,,,,,,,,,,CF,,,,,,
357,Hirving Lozano,"€ 98,654","€ 5,130,000",,"Aug 23, 2019","Jun 30, 2024",2.0,"€ 10,260,000","€ 130,000,000",F,,27.0,Starter,Mexico,,,Napoli,Serie A,2022-2023,,,,,,,,,,,RW,,,,,,
358,Giacomo Raspadori,"€ 89,038","€ 4,630,000","€ 930,000","Aug 20, 2022","Jun 30, 2023",1.0,"€ 4,630,000",,F,,22.0,Reserve,Italy,,,Napoli,Serie A,2022-2023,,,,,,,,,,,SS,,,,,,
359,Giovanni Di Lorenzo,"€ 85,385","€ 4,440,000",,"Jul 15, 2021","Jun 30, 2026",4.0,"€ 17,760,000",,D,,29.0,Starter,Italy,,,Napoli,Serie A,2022-2023,,,,,,,,,,,RB,,,,,,
360,Matteo Politano,"€ 78,269","€ 4,070,000",,"Jul 1, 2021","Jun 30, 2024",2.0,"€ 8,140,000",,F,,29.0,Reserve,Italy,,,Napoli,Serie A,2022-2023,,,,,,,,,,,RW,,,,,,
361,Mário Rui,"€ 74,808","€ 3,890,000",,"Aug 18, 2020","Jun 30, 2025",3.0,"€ 11,670,000",,D,,31.0,Starter,Portugal,,,Napoli,Serie A,2022-2023,,,,,,,,,,,LB,,,,,,
362,Stanislav Lobotka,"€ 69,038","€ 3,590,000","€ 640,000","Mar 15, 2023","Jun 30, 2027",5.0,"€ 17,950,000",,M,,28.0,Starter,Slovakia,,,Napoli,Serie A,2022-2023,,,,,,,,,,,DM,,,,,,
363,André Zambo Anguissa,"€ 66,538","€ 3,460,000","€ 380,000","Nov 11, 2022","Jun 30, 2025",3.0,"€ 10,380,000",,M,,27.0,Starter,Cameroon,,,Napoli,Serie A,2022-2023,,,,,,,,,,,CM,,,,,,
364,Giovanni Simeone,"€ 64,038","€ 3,330,000",,"Aug 18, 2022","Jun 30, 2023",1.0,"€ 3,330,000",,F,,27.0,Reserve,Argentina,,,Napoli,Serie A,2022-2023,,,,,,,,,,,CF,,,,,,
365,Min-jae Kim,"€ 61,731","€ 3,210,000",,"Jul 27, 2022","Jun 30, 2025",3.0,"€ 9,630,000","€ 45,000,000",D,,26.0,Starter,South Korea,,,Napoli,Serie A,2022-2023,,,,,,,,,,,CB,,,,,,
366,Diego Demme,"€ 61,731","€ 3,210,000",,"Jan 11, 2020","Jun 30, 2024",2.0,"€ 6,420,000",,M,,31.0,Reserve,Germany,,,Napoli,Serie A,2022-2023,,,,,,,,,,,DM,,,,,,
367,Tanguy Ndombélé,"€ 61,731","€ 3,210,000",,"Aug 19, 2022","Jun 30, 2023",1.0,"€ 3,210,000",,M,,26.0,Reserve,France,,,Napoli,Serie A,2022-2023,,,,,,,,,,,CM,,,,,,
368,Alex Meret,"€ 53,462","€ 2,780,000","€ 930,000","Oct 5, 2022","Jun 30, 2024",2.0,"€ 5,560,000",,K,,25.0,Starter,Italy,,,Napoli,Serie A,2022-2023,,,,,,,,,,,GK,,,,,,
369,Amir Rrahmani,"€ 44,423","€ 2,310,000",,"Jan 20, 2020","Jun 30, 2024",2.0,"€ 4,620,000",,D,,28.0,Starter,Kosovo,,,Napoli,Serie A,2022-2023,,,,,,,,,,,CB,,,,,,
370,Juan Jesus,"€ 42,692","€ 2,220,000",,"May 27, 2022","Jun 30, 2023",1.0,"€ 2,220,000",,D,,31.0,Reserve,Brazil,,,Napoli,Serie A,2022-2023,,,,,,,,,,,CB,,,,,,
371,Mathías Olivera,"€ 36,923","€ 1,920,000",,"Jul 1, 2022","Jun 30, 2027",5.0,"€ 9,600,000",,D,,25.0,Reserve,Uruguay,,,Napoli,Serie A,2022-2023,,,,,,,,,,,LB,,,,,,
372,Eljif Elmas,"€ 36,923","€ 1,920,000",,"Aug 18, 2020","Jun 30, 2025",3.0,"€ 5,760,000",,M,,23.0,Reserve,North Macedonia,,,Napoli,Serie A,2022-2023,,,,,,,,,,,CM,,,,,,
373,Leo Östigard,"€ 29,615","€ 1,540,000",,"Jul 18, 2022","Jun 30, 2023",1.0,"€ 1,540,000",,D,,23.0,Reserve,Norway,,,Napoli,Serie A,2022-2023,,,,,,,,,,,CB,,,,,,
374,Khvicha Kvaratskhelia,"€ 29,615","€ 1,540,000",,"Jul 1, 2022","Jun 30, 2027",5.0,"€ 7,700,000",,F,,21.0,Starter,Georgia,,,Napoli,Serie A,2022-2023,,,,,,,,,,,LW,,,,,,
375,Pierluigi Gollini,"€ 28,462","€ 1,480,000",,"Jan 25, 2023","Jun 30, 2023",1.0,"€ 1,480,000",,K,,27.0,Reserve,Italy,,,Napoli,Serie A,2022-2023,,,,,,,,,,,GK,,,,,,
376,Bartosz Bereszynski,"€ 15,962","€ 830,000",,"Jan 7, 2023","Jun 30, 2023",1.0,"€ 830,000",,D,,30.0,Reserve,Poland,,,Napoli,Serie A,2022-2023,,,,,,,,,,,RB,,,,,,
377,Alessio Zerbin,"€ 6,346","€ 330,000",,"Oct 5, 2022","Jun 30, 2027",5.0,"€ 1,650,000",,F,,23.0,Reserve,Italy,,,Napoli,Serie A,2022-2023,,,,,,,,,,,LW,,,,,,
378,Gianluca Gaetano,"€ 3,654","€ 190,000",,"Jul 1, 2019","Jun 30, 2025",3.0,"€ 570,000",,F,,22.0,Reserve,Italy,,,Napoli,Serie A,2022-2023,,,,,,,,,,,AM,,,,,,
379,Davide Marfella,"€ 1,731","€ 90,000",,"Aug 19, 2021","Jun 30, 2023",1.0,"€ 90,000",,K,,23.0,Reserve,Italy,,,Napoli,Serie A,2022-2023,,,,,,,,,,,GK,,,,,,
380,Hubert Idasiak,"€ 1,346","€ 70,000",,"Jul 1, 2022","Jun 30, 2024",2.0,"€ 140,000",,K,,20.0,Reserve,Poland,,,Napoli,Serie A,2022-2023,,,,,,,,,,,GK,,,,,,
381,Karim Zedadka,"€ 1,154","€ 60,000",,"Sep 1, 2020","Jun 30, 2023",1.0,"€ 60,000",,M,,22.0,Reserve,Algeria,,,Napoli,Serie A,2022-2023,,,,,,,,,,,LM,,,,,,
382,Total,"€ 1,372,692","€ 71,380,000","€ 2,880,000",,,,"€ 174,510,000","€ 375,000,000",,,,,,,,Napoli,Serie A,2022-2023,,,,,,,,,,,,,,,,,
383,Paulo Dybala,"€ 135,385","€ 7,040,000","€ 4,070,000","Jul 20, 2022","Jun 30, 2025",3.0,"€ 21,120,000","€ 20,000,000",F,,29.0,Starter,Argentina,,,Roma,Serie A,2022-2023,,,,,,,,,,,SS,,,,,,
384,Lorenzo Pellegrini,"€ 124,615","€ 6,480,000","€ 930,000","Oct 2, 2021","Jun 30, 2026",4.0,"€ 25,920,000",,F,,26.0,Starter,Italy,,,Roma,Serie A,2022-2023,,,,,,,,,,,AM,,,,,,
385,Gianluca Mancini,"€ 124,615","€ 6,480,000","€ 930,000","Jul 12, 2022","Jun 30, 2027",5.0,"€ 32,400,000",,D,,26.0,Starter,Italy,,,Roma,Serie A,2022-2023,,,,,,,,,,,CB,,,,,,
386,Stephan El Shaarawy,"€ 124,615","€ 6,480,000",,"Jan 30, 2021","Jun 30, 2023",1.0,"€ 6,480,000",,F,,30.0,Starter,Italy,,,Roma,Serie A,2022-2023,,,,,,,,,,,LW,,,,,,
387,Georginio Wijnaldum,"€ 123,269","€ 6,410,000",,"Aug 5, 2022","Jun 30, 2023",1.0,"€ 6,410,000",,M,,32.0,Reserve,Netherlands,,,Roma,Serie A,2022-2023,,,,,,,,,,,CM,,,,,,
388,Tammy Abraham,"€ 110,962","€ 5,770,000",,"Aug 17, 2021","Jun 30, 2026",4.0,"€ 23,080,000",,F,,25.0,Starter,England,,,Roma,Serie A,2022-2023,,,,,,,,,,,CF,,,,,,
389,Leonardo Spinazzola,"€ 106,923","€ 5,560,000",,"Oct 5, 2019","Jun 30, 2024",2.0,"€ 11,120,000",,D,,29.0,Reserve,Italy,,,Roma,Serie A,2022-2023,,,,,,,,,,,LB,,,,,,
390,Nemanja Matić,"€ 98,654","€ 5,130,000",,"Jul 1, 2022","Jun 30, 2023",1.0,"€ 5,130,000",,M,,34.0,Starter,Serbia,,,Roma,Serie A,2022-2023,,,,,,,,,,,DM,,,,,,
391,Chris Smalling,"€ 93,654","€ 4,870,000",,"Oct 5, 2020","Jun 30, 2023",1.0,"€ 4,870,000",,D,,33.0,Starter,England,,,Roma,Serie A,2022-2023,,,,,,,,,,,CB,,,,,,
392,Andrea Belotti,"€ 85,385","€ 4,440,000","€ 740,000","Aug 28, 2022","Jun 30, 2023",1.0,"€ 4,440,000",,F,,29.0,Reserve,Italy,,,Roma,Serie A,2022-2023,,,,,,,,,,,CF,,,,,,
393,Rick Karsdorp,"€ 78,269","€ 4,070,000",,"Mar 12, 2021","Jun 30, 2025",3.0,"€ 12,210,000",,D,,27.0,Reserve,Netherlands,,,Roma,Serie A,2022-2023,,,,,,,,,,,RB,,,,,,
394,Rui Patrício,"€ 74,038","€ 3,850,000",,"Jul 13, 2021","Jun 30, 2024",2.0,"€ 7,700,000",,K,,34.0,Starter,Portugal,,,Roma,Serie A,2022-2023,,,,,,,,,,,GK,,,,,,
395,Marash Kumbulla,"€ 64,038","€ 3,330,000",,"Jul 1, 2021","Jun 30, 2025",3.0,"€ 9,990,000",,D,,22.0,Reserve,Albania,,,Roma,Serie A,2022-2023,,,,,,,,,,,CB,,,,,,
396,Bryan Cristante,"€ 64,038","€ 3,330,000",,"Jan 8, 2020","Jun 30, 2024",2.0,"€ 6,660,000",,M,,27.0,Starter,Italy,,,Roma,Serie A,2022-2023,,,,,,,,,,,DM,,,,,,
397,Zeki Celik,"€ 49,231","€ 2,560,000",,"Jul 5, 2022","Jun 30, 2026",4.0,"€ 10,240,000",,D,,25.0,Reserve,Turkey,,,Roma,Serie A,2022-2023,,,,,,,,,,,RB,,,,,,
398,Roger Ibañez,"€ 36,923","€ 1,920,000",,"Mar 4, 2021","Jun 30, 2025",3.0,"€ 5,760,000",,D,,24.0,Starter,Brazil,,,Roma,Serie A,2022-2023,,,,,,,,,,,CB,,,,,,
399,Diego Llorente,"€ 31,731","€ 1,650,000",,"Jan 31, 2023","Jun 30, 2023",1.0,"€ 1,650,000",,D,,29.0,Reserve,Spain,,,Roma,Serie A,2022-2023,,,,,,,,,,,CB,,,,,,
400,Mady Camara,"€ 29,615","€ 1,540,000",,"Aug 31, 2022","Jun 30, 2023",1.0,"€ 1,540,000",,M,,25.0,Reserve,Guinea,,,Roma,Serie A,2022-2023,,,,,,,,,,,CM,,,,,,
401,Ante Coric,"€ 29,615","€ 1,540,000",,"Jul 1, 2018","Jun 30, 2023",1.0,"€ 1,540,000",,F,,25.0,Reserve,Croatia,,,Roma,Serie A,2022-2023,,,,,,,,,,,AM,,,,,,
402,Mile Svilar,"€ 24,615","€ 1,280,000",,"Jul 1, 2022","Jun 30, 2027",5.0,"€ 6,400,000",,K,,23.0,Reserve,Serbia,,,Roma,Serie A,2022-2023,,,,,,,,,,,GK,,,,,,
403,William Bianda,"€ 17,308","€ 900,000",,"Jul 1, 2020","Jun 30, 2023",1.0,"€ 900,000",,D,,22.0,Reserve,France,,,Roma,Serie A,2022-2023,,,,,,,,,,,CB,,,,,,
404,Ola Solbakken,"€ 17,308","€ 900,000",,"Jan 2, 2023","Jun 30, 2027",5.0,"€ 4,500,000",,F,,24.0,Reserve,Norway,,,Roma,Serie A,2022-2023,,,,,,,,,,,RW,,,,,,
405,Ebrima Darboe,"€ 15,962","€ 830,000",,"Dec 29, 2021","Jun 30, 2026",4.0,"€ 3,320,000",,M,,21.0,Reserve,The Gambia,,,Roma,Serie A,2022-2023,,,,,,,,,,,DM,,,,,,
406,Nicola Zalewski,"€ 10,769","€ 560,000",,"Dec 29, 2021","Jun 30, 2025",3.0,"€ 1,680,000",,M,,21.0,Starter,Poland,,,Roma,Serie A,2022-2023,,,,,,,,,,,LM,,,,,,
407,Edoardo Bove,"€ 7,115","€ 370,000",,"Dec 29, 2021","Jun 30, 2025",3.0,"€ 1,110,000",,M,,20.0,Reserve,Italy,,,Roma,Serie A,2022-2023,,,,,,,,,,,CM,,,,,,
408,Pietro Boer,"€ 7,115","€ 370,000",,"Jul 1, 2021","Jun 30, 2024",2.0,"€ 740,000",,K,,20.0,Reserve,Italy,,,Roma,Serie A,2022-2023,,,,,,,,,,,GK,,,,,,
409,Cristian Volpato,"€ 7,115","€ 370,000",,"Sep 30, 2022","Jun 30, 2026",4.0,"€ 1,480,000",,F,,19.0,Reserve,Italy,,,Roma,Serie A,2022-2023,,,,,,,,,,,AM,,,,,,
410,Eldor Shomurodov,€ 0,€ 0,,"Aug 2, 2021","Jun 30, 2026",4.0,€ 0,,F,,27.0,Reserve,Uzbekistan,,,Roma,Serie A,2022-2023,,,,,,,,,,,CF,,,,,,
411,Total,"€ 1,692,882","€ 88,030,000","€ 6,670,000",,,,"€ 218,390,000","€ 20,000,000",,,,,,,,Roma,Serie A,2022-2023,,,,,,,,,,,,,,,,,
412,Federico Fazio,"€ 89,038","€ 4,630,000",,"Jan 29, 2022","Jun 30, 2024",2.0,"€ 9,260,000",,D,,35.0,Reserve,Argentina,,,Salernitana,Serie A,2022-2023,,,,,,,,,,,,CB,,,,,
413,Krzysztof Piatek,"€ 74,038","€ 3,850,000",,"Sep 1, 2022","Jun 30, 2023",1.0,"€ 3,850,000",,F,,27.0,Starter,Poland,,,Salernitana,Serie A,2022-2023,,,,,,,,,,,,CF,,,,,
414,Antonio Candreva,"€ 46,346","€ 2,410,000",,"Aug 12, 2022","Jun 30, 2023",1.0,"€ 2,410,000",,M,,35.0,Starter,Italy,,,Salernitana,Serie A,2022-2023,,,,,,,,,,,,RM,,,,,
415,Federico Bonazzoli,"€ 42,692","€ 2,220,000",,"Jul 26, 2022","Jun 30, 2026",4.0,"€ 8,880,000",,F,,25.0,Reserve,Italy,,,Salernitana,Serie A,2022-2023,,,,,,,,,,,,CF,,,,,
416,Junior Sambia,"€ 36,923","€ 1,920,000",,"Jul 19, 2022","Jun 30, 2026",4.0,"€ 7,680,000",,D,,26.0,Starter,France,,,Salernitana,Serie A,2022-2023,,,,,,,,,,,,RB,,,,,
417,Giulio Maggiore,"€ 35,577","€ 1,850,000",,"Aug 16, 2022","Jun 30, 2026",4.0,"€ 7,400,000",,M,,24.0,Reserve,Italy,,,Salernitana,Serie A,2022-2023,,,,,,,,,,,,CM,,,,,
418,Boulaye Dia,"€ 34,423","€ 1,790,000",,"Aug 18, 2022","Jun 30, 2023",1.0,"€ 1,790,000",,F,,26.0,Starter,Senegal,,,Salernitana,Serie A,2022-2023,,,,,,,,,,,,CF,,,,,
419,Luigi Sepe,"€ 32,115","€ 1,670,000",,"Jul 1, 2022","Jun 30, 2023",1.0,"€ 1,670,000",,K,,31.0,Reserve,Italy,,,Salernitana,Serie A,2022-2023,,,,,,,,,,,,GK,,,,,
420,William Troost-Ekong,"€ 30,577","€ 1,590,000",,"Jan 24, 2023","Jun 30, 2023",1.0,"€ 1,590,000",,D,,29.0,Starter,Nigeria,,,Salernitana,Serie A,2022-2023,,,,,,,,,,,,CB,,,,,
421,Norbert Gyomber,"€ 25,000","€ 1,300,000","€ 370,000","Jan 13, 2023","Jun 30, 2025",3.0,"€ 3,900,000",,D,,30.0,Reserve,Slovakia,,,Salernitana,Serie A,2022-2023,,,,,,,,,,,,CB,,,,,
422,Domagoj Bradaric,"€ 24,615","€ 1,280,000",,"Jul 15, 2022","Jun 30, 2026",4.0,"€ 5,120,000",,D,,23.0,Starter,Croatia,,,Salernitana,Serie A,2022-2023,,,,,,,,,,,,LB,,,,,
423,Dylan Bronn,"€ 22,115","€ 1,150,000",,"Aug 12, 2022","Jun 30, 2025",3.0,"€ 3,450,000",,D,,27.0,Starter,Tunisia,,,Salernitana,Serie A,2022-2023,,,,,,,,,,,,CB,,,,,
424,Ivan Radovanovic,"€ 21,346","€ 1,110,000",,"Jan 31, 2022","Jun 30, 2023",1.0,"€ 1,110,000",,M,,34.0,Reserve,Serbia,,,Salernitana,Serie A,2022-2023,,,,,,,,,,,,DM,,,,,
425,Emil Bohinen,"€ 19,231","€ 1,000,000",,"Jul 1, 2022","Jun 30, 2026",4.0,"€ 4,000,000",,M,,23.0,Reserve,Norway,,,Salernitana,Serie A,2022-2023,,,,,,,,,,,,CM,,,,,
426,Matteo Lovato,"€ 17,885","€ 930,000",,"Jul 6, 2022","Jun 30, 2027",5.0,"€ 4,650,000",,D,,22.0,Reserve,Italy,,,Salernitana,Serie A,2022-2023,,,,,,,,,,,,CB,,,,,
427,Guillermo Ochoa,"€ 14,231","€ 740,000",,"Jan 2, 2023","Jun 30, 2023",1.0,"€ 740,000",,K,,37.0,Starter,Mexico,,,Salernitana,Serie A,2022-2023,,,,,,,,,,,,GK,,,,,
428,Tonny Vilhena,"€ 14,231","€ 740,000",,"Aug 10, 2022","Jun 30, 2023",1.0,"€ 740,000",,M,,28.0,Starter,Netherlands,,,Salernitana,Serie A,2022-2023,,,,,,,,,,,,CM,,,,,
429,Flavius Daniliuc,"€ 12,308","€ 640,000",,"Aug 29, 2022","Jun 30, 2026",4.0,"€ 2,560,000",,D,,21.0,Reserve,Austria,,,Salernitana,Serie A,2022-2023,,,,,,,,,,,,CB,,,,,
430,Lorenzo Pirola,"€ 10,769","€ 560,000",,"Jul 30, 2022","Jun 30, 2023",1.0,"€ 560,000",,D,,20.0,Reserve,Italy,,,Salernitana,Serie A,2022-2023,,,,,,,,,,,,CB,,,,,
431,Erik Botheim,"€ 9,808","€ 510,000",,"Jul 7, 2022","Jun 30, 2026",4.0,"€ 2,040,000",,F,,23.0,Reserve,Norway,,,Salernitana,Serie A,2022-2023,,,,,,,,,,,,CF,,,,,
432,Lassana Coulibaly,"€ 9,808","€ 510,000",,"Jun 29, 2022","Jun 30, 2026",4.0,"€ 2,040,000",,M,,26.0,Starter,Mali,,,Salernitana,Serie A,2022-2023,,,,,,,,,,,,CM,,,,,
433,Vincenzo Fiorillo,"€ 9,615","€ 500,000",,"Aug 6, 2021","Jun 30, 2025",3.0,"€ 1,500,000",,K,,33.0,Reserve,Italy,,,Salernitana,Serie A,2022-2023,,,,,,,,,,,,GK,,,,,
434,Domen Crnigoj,"€ 8,654","€ 450,000",,"Jan 26, 2023","Jun 30, 2023",1.0,"€ 450,000",,M,,27.0,Reserve,Slovenia,,,Salernitana,Serie A,2022-2023,,,,,,,,,,,,CM,,,,,
435,Hans Nicolussi Caviglia,"€ 7,500","€ 390,000",,"Jan 5, 2023","Jun 30, 2023",1.0,"€ 390,000",,M,,22.0,Starter,Italy,,,Salernitana,Serie A,2022-2023,,,,,,,,,,,,CM,,,,,
436,Diego Valencia,"€ 6,154","€ 320,000",,"Jul 11, 2022","Jun 30, 2026",4.0,"€ 1,280,000",,F,,23.0,Reserve,Chile,,,Salernitana,Serie A,2022-2023,,,,,,,,,,,,CF,,,,,
437,Pasquale Mazzocchi,"€ 5,769","€ 300,000",,"Aug 18, 2022","Jun 30, 2026",4.0,"€ 1,200,000",,D,,27.0,Reserve,Italy,,,Salernitana,Serie A,2022-2023,,,,,,,,,,,,RB,,,,,
