,Player,Gross P/W(EUR),Gross P/Y(EUR),Gross P/Y(EUR).1,Signed,"Contract Expiration Dec 31, 2023Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Years Remaining 12345,Gross Remaining(EUR),Release Clause(EUR),Pos. DFKM,Pos. AMCBCFCMDMGKLBLWRBRW,Age,Status ReserveStarter,Country,Active,Loan,Team,League,Season,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027Jun 30, 2028",Years Remaining 123456,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026Jun 30, 2027",Pos. AMCBCFCMDMGKLBLWRBRWSS,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2026",Years Remaining 1234,Pos. AMCBCFCMDMGKLBLWRBRMRW,"Contract Expiration Jun 30, 2023Jun 30, 2024Jun 30, 2025Jun 30, 2027",Years Remaining 1235,Pos. AMCBCFCMDMGKLBLWRBRM,Pos. CBCFCMDMGKLBLWRBRWSS,Pos. AMCBCFCMGKLBLWRBSS,Pos. AMCBCFCMDMGKLBRBRWSS,Pos. AMCBCFCMDMGKLBRBSS,Pos. AMCBCFCMDMGKLBLMLWRBRWSS
427,Serhou Guirassy,"€ 41,538","€ 2,160,000",,"Sep 1, 2022",,,"€ 2,160,000",,F,CF,26.0,Reserve,Guinea,,,Stuttgart,Bundesliga,2022-2023,,,,,"Jun 30, 2023",1.0,,,,,,,,,
428,Hiroki Ito,"€ 22,115","€ 1,150,000",,"Jul 1, 2022",,,"€ 3,450,000",,D,CB,23.0,Starter,Japan,,,Stuttgart,Bundesliga,2022-2023,,,,,"Jun 30, 2025",3.0,,,,,,,,,
429,Silas Wamangituka,"€ 21,923","€ 1,140,000",,"Jan 1, 2023",,,"€ 4,560,000",,F,RW,24.0,Reserve,Democratic Republic of the Congo,,,Stuttgart,Bundesliga,2022-2023,,,,,"Jun 30, 2026",4.0,,,,,,,,,
430,Josha Vagnoman,"€ 18,077","€ 940,000",,"Jul 9, 2022",,,"€ 3,760,000",,D,RB,22.0,Reserve,Germany,,,Stuttgart,Bundesliga,2022-2023,,,,,"Jun 30, 2026",4.0,,,,,,,,,
431,Konstantinos Mavropanos,"€ 14,615","€ 760,000",,"Jul 1, 2022",,,"€ 2,280,000",,D,CB,25.0,Reserve,Greece,,,Stuttgart,Bundesliga,2022-2023,,,,,"Jun 30, 2025",3.0,,,,,,,,,
432,Waldemar Anton,"€ 14,423","€ 750,000",,"Nov 5, 2021",,,"€ 2,250,000",,D,CB,26.0,Starter,Germany,,,Stuttgart,Bundesliga,2022-2023,,,,,"Jun 30, 2025",3.0,,,,,,,,,
433,Pascal Stenzel,"€ 13,654","€ 710,000",,"Jul 1, 2020",,,"€ 1,420,000",,D,RB,26.0,Reserve,Germany,,,Stuttgart,Bundesliga,2022-2023,,,,,"Jun 30, 2024",2.0,,,,,,,,,
434,Wataru Endo,"€ 12,692","€ 660,000",,"Nov 26, 2020",,,"€ 1,320,000",,M,DM,29.0,Starter,Japan,,,Stuttgart,Bundesliga,2022-2023,,,,,"Jun 30, 2024",2.0,,,,,,,,,
435,Borna Sosa,"€ 12,308","€ 640,000",,"Nov 27, 2020",,,"€ 1,920,000",,D,LB,25.0,Starter,Croatia,,,Stuttgart,Bundesliga,2022-2023,,,,,"Jun 30, 2025",3.0,,,,,,,,,
436,Nikolas Nartey,"€ 11,923","€ 620,000",,"Apr 27, 2022",,,"€ 1,860,000",,M,CM,22.0,Reserve,Denmark,,,Stuttgart,Bundesliga,2022-2023,,,,,"Jun 30, 2025",3.0,,,,,,,,,
437,Luca Pfeiffer,"€ 11,538","€ 600,000",,"Aug 2, 2022",,,"€ 2,400,000",,F,CF,26.0,Starter,Germany,,,Stuttgart,Bundesliga,2022-2023,,,,,"Jun 30, 2026",4.0,,,,,,,,,
438,Fabian Bredlow,"€ 9,423","€ 490,000",,"Jan 15, 2021",,,"€ 980,000",,K,GK,27.0,Starter,Germany,,,Stuttgart,Bundesliga,2022-2023,,,,,"Jun 30, 2024",2.0,,,,,,,,,
439,Atakan Karazor,"€ 9,038","€ 470,000",,"May 19, 2022",,,"€ 1,880,000",,M,DM,26.0,Starter,Germany,,,Stuttgart,Bundesliga,2022-2023,,,,,"Jun 30, 2026",4.0,,,,,,,,,
440,Juan José Perea,"€ 7,500","€ 390,000",,"Jul 8, 2022",,,"€ 1,560,000",,F,CF,22.0,Reserve,Colombia,,,Stuttgart,Bundesliga,2022-2023,,,,,"Jun 30, 2026",4.0,,,,,,,,,
441,Chris Führich,"€ 7,308","€ 380,000",,"Jul 19, 2021",,,"€ 1,140,000",,F,RW,25.0,Starter,Germany,,,Stuttgart,Bundesliga,2022-2023,,,,,"Jun 30, 2025",3.0,,,,,,,,,
442,Laurin Ulrich,"€ 6,923","€ 360,000",,"Jul 8, 2022",,,"€ 1,440,000",,F,AM,18.0,Reserve,Germany,,,Stuttgart,Bundesliga,2022-2023,,,,,"Jun 30, 2026",4.0,,,,,,,,,
443,Thomas Kastanaras,"€ 6,346","€ 330,000",,"Jul 1, 2022",,,"€ 990,000",,F,CF,20.0,Reserve,Germany,,,Stuttgart,Bundesliga,2022-2023,,,,,"Jun 30, 2025",3.0,,,,,,,,,
444,Enzo Millot,"€ 5,769","€ 300,000",,"Aug 14, 2021",,,"€ 900,000",,M,CM,20.0,Reserve,France,,,Stuttgart,Bundesliga,2022-2023,,,,,"Jun 30, 2025",3.0,,,,,,,,,
445,Florian Müller,"€ 5,192","€ 270,000",,"Jul 1, 2021",,,"€ 810,000",,K,GK,25.0,Reserve,Germany,,,Stuttgart,Bundesliga,2022-2023,,,,,"Jun 30, 2025",3.0,,,,,,,,,
446,Alou Kuol,"€ 4,038","€ 210,000",,"Jul 1, 2022",,,"€ 630,000",,F,CF,21.0,Reserve,Australia,,,Stuttgart,Bundesliga,2022-2023,,,,,"Jun 30, 2025",3.0,,,,,,,,,
447,Tanguy Coulibaly,"€ 3,846","€ 200,000",,"Jul 2, 2019",,,"€ 200,000",,F,LW,21.0,Reserve,France,,,Stuttgart,Bundesliga,2022-2023,,,,,"Jun 30, 2023",1.0,,,,,,,,,
448,Ömer Beyaz,"€ 2,500","€ 130,000",,"Jul 1, 2021",,,"€ 390,000",,F,AM,19.0,Reserve,Turkey,,,Stuttgart,Bundesliga,2022-2023,,,,,"Jun 30, 2025",3.0,,,,,,,,,
449,Tiago Tomás,"€ 2,308","€ 120,000",,"Jan 30, 2022",,,"€ 120,000",,F,CF,20.0,Reserve,Portugal,,,Stuttgart,Bundesliga,2022-2023,,,,,"Jun 30, 2023",1.0,,,,,,,,,
450,Antonis Aidonis,"€ 2,308","€ 120,000",,"Jul 24, 2020",,,"€ 120,000",,D,CB,21.0,Reserve,Germany,,,Stuttgart,Bundesliga,2022-2023,,,,,"Jun 30, 2023",1.0,,,,,,,,,
451,Florian Schock,€ 577,"€ 30,000",,"Feb 3, 2022",,,"€ 60,000",,K,GK,21.0,Reserve,Germany,,,Stuttgart,Bundesliga,2022-2023,,,,,"Jun 30, 2024",2.0,,,,,,,,,
452,Lilian Egloff,€ 577,"€ 30,000",,"Aug 20, 2020",,,"€ 60,000",,F,AM,20.0,Reserve,Germany,,,Stuttgart,Bundesliga,2022-2023,,,,,"Jun 30, 2024",2.0,,,,,,,,,
453,Genki Haraguchi,€ 0,€ 0,,"Jan 30, 2023",,,€ 0,,F,AM,31.0,Starter,Japan,,,Stuttgart,Bundesliga,2022-2023,,,,,"Jun 30, 2024",2.0,,,,,,,,,
454,Gil Dias,€ 0,€ 0,,"Jan 30, 2023",,,€ 0,,F,LW,26.0,Starter,Portugal,,,Stuttgart,Bundesliga,2022-2023,,,,,"Jun 30, 2025",3.0,,,,,,,,,
455,Total,"€ 322,882","€ 16,790,000",€ 0,,,,"€ 49,980,000",€ 0,,,,,,,,Stuttgart,Bundesliga,2022-2023,,,,,,,,,,,,,,,
456,Jordan Siebatcheu,"€ 33,462","€ 1,740,000",,"Jul 1, 2022",,4.0,"€ 6,960,000",,F,,26.0,Reserve,United States,,,Union Berlin,Bundesliga,2022-2023,,,"Jun 30, 2026",,,,,,,,,,CF,,
457,Robin Knoche,"€ 28,846","€ 1,500,000",,"Apr 1, 2022",,2.0,"€ 3,000,000",,D,,30.0,Starter,Germany,,,Union Berlin,Bundesliga,2022-2023,,,"Jun 30, 2024",,,,,,,,,,CB,,
458,Timo Baumgartl,"€ 28,269","€ 1,470,000",,"Jun 14, 2022",,1.0,"€ 1,470,000",,D,,26.0,Reserve,Germany,,,Union Berlin,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,,,,,,,CB,,
459,Janik Haberer,"€ 20,769","€ 1,080,000",,"Jul 1, 2022",,3.0,"€ 3,240,000",,M,,28.0,Starter,Germany,,,Union Berlin,Bundesliga,2022-2023,,,"Jun 30, 2025",,,,,,,,,,CM,,
460,Morten Thorsby,"€ 20,000","€ 1,040,000",,"Jul 19, 2022",,3.0,"€ 3,120,000",,M,,26.0,Reserve,Norway,,,Union Berlin,Bundesliga,2022-2023,,,"Jun 30, 2025",,,,,,,,,,CM,,
461,Jamie Leweling,"€ 19,615","€ 1,020,000",,"Jul 1, 2022",,4.0,"€ 4,080,000",,F,,21.0,Reserve,Germany,,,Union Berlin,Bundesliga,2022-2023,,,"Jun 30, 2026",,,,,,,,,,SS,,
462,Kevin Möhwald,"€ 17,692","€ 920,000",,"Aug 30, 2021",,1.0,"€ 920,000",,M,,29.0,Reserve,Germany,,,Union Berlin,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,,,,,,,CM,,
463,András Schäfer,"€ 17,308","€ 900,000",,"Jan 21, 2022",,1.0,"€ 900,000",,M,,23.0,Reserve,Hungary,,,Union Berlin,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,,,,,,,CM,,
464,Lennart Grill,"€ 17,308","€ 900,000",,"Jul 1, 2022",,1.0,"€ 900,000",,K,,24.0,Reserve,Germany,,,Union Berlin,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,,,,,,,GK,,
465,Levin Öztunali,"€ 16,538","€ 860,000",,"Jul 1, 2021",,1.0,"€ 860,000",,M,,26.0,Reserve,Germany,,,Union Berlin,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,,,,,,,CM,,
466,Rani Khedira,"€ 16,346","€ 850,000",,"Jul 1, 2021",,1.0,"€ 850,000",,M,,29.0,Starter,Germany,,,Union Berlin,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,,,,,,,DM,,
467,Paul Seguin,"€ 16,154","€ 840,000",,"Jul 1, 2022",,1.0,"€ 840,000",,M,,27.0,Reserve,Germany,,,Union Berlin,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,,,,,,,CM,,
468,Frederik Rönnow,"€ 13,462","€ 700,000",,"Jul 20, 2021",,2.0,"€ 1,400,000",,K,,30.0,Starter,Denmark,,,Union Berlin,Bundesliga,2022-2023,,,"Jun 30, 2024",,,,,,,,,,GK,,
469,Christopher Trimmel,"€ 13,077","€ 680,000",,"Jan 8, 2023",,1.0,"€ 680,000",,D,,35.0,Reserve,Austria,,,Union Berlin,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,,,,,,,RB,,
470,Danilho Doekhi,"€ 11,538","€ 600,000",,"Jul 1, 2022",,3.0,"€ 1,800,000",,D,,24.0,Starter,Netherlands,,,Union Berlin,Bundesliga,2022-2023,,,"Jun 30, 2025",,,,,,,,,,CB,,
471,Niko Gießelmann,"€ 11,538","€ 600,000",,"Jul 15, 2020",,1.0,"€ 600,000",,D,,31.0,Starter,Germany,,,Union Berlin,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,,,,,,,LB,,
472,Sheraldo Becker,"€ 10,000","€ 520,000",,"Jun 29, 2022",,3.0,"€ 1,560,000",,F,,27.0,Starter,Suriname,,,Union Berlin,Bundesliga,2022-2023,,,"Jun 30, 2025",,,,,,,,,,SS,,
473,Jakob Busk,"€ 8,077","€ 420,000",,"Jun 23, 2022",,1.0,"€ 420,000",,K,,29.0,Reserve,Denmark,,,Union Berlin,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,,,,,,,GK,,
474,Sven Michel,"€ 7,692","€ 400,000",,"Jan 31, 2022",,2.0,"€ 800,000",,F,,32.0,Reserve,Germany,,,Union Berlin,Bundesliga,2022-2023,,,"Jun 30, 2024",,,,,,,,,,CF,,
475,Milos Pantovic,"€ 7,500","€ 390,000",,"Jul 1, 2022",,1.0,"€ 390,000",,F,,26.0,Reserve,Serbia,,,Union Berlin,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,,,,,,,AM,,
476,Diogo Leite,"€ 6,538","€ 340,000",,"Jul 16, 2022",,1.0,"€ 340,000",,D,,24.0,Starter,Portugal,,,Union Berlin,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,,,,,,,CB,,
477,Paul Jaeckel,"€ 5,769","€ 300,000",,"Jul 1, 2021",,1.0,"€ 300,000",,D,,24.0,Reserve,Germany,,,Union Berlin,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,,,,,,,CB,,
478,Kevin Behrens,"€ 3,654","€ 190,000",,"Feb 5, 2023",,1.0,"€ 190,000",,F,,31.0,Starter,Germany,,,Union Berlin,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,,,,,,,CF,,
479,Tim Maciejewski,"€ 3,654","€ 190,000",,"Jul 1, 2020",,1.0,"€ 190,000",,F,,21.0,Reserve,Germany,,,Union Berlin,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,,,,,,,RW,,
480,Aïssa Laïdouni,€ 0,€ 0,,"Jan 27, 2023",,1.0,€ 0,,M,,26.0,Starter,Tunisia,,,Union Berlin,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,,,,,,,CM,,
481,Jérôme Roussillon,€ 0,€ 0,,"Jan 12, 2023",,1.0,€ 0,,D,,30.0,Reserve,France,,,Union Berlin,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,,,,,,,LB,,
482,Josip Juranovic,€ 0,€ 0,,"Jan 22, 2023",,5.0,€ 0,,D,,27.0,Starter,Croatia,,,Union Berlin,Bundesliga,2022-2023,,,"Jun 30, 2027",,,,,,,,,,RB,,
483,Total,"€ 354,806","€ 18,450,000",€ 0,,,,"€ 35,810,000",€ 0,,,,,,,,Union Berlin,Bundesliga,2022-2023,,,,,,,,,,,,,,,
484,Jiri Pavlenka,"€ 50,000","€ 2,600,000",,"May 17, 2022",,,"€ 7,800,000",,K,,30.0,Starter,Czech Republic,,,Werder Bremen,Bundesliga,2022-2023,,,,,"Jun 30, 2025",3.0,,,,,,,,GK,
485,Marvin Ducksch,"€ 47,500","€ 2,470,000",,"Aug 25, 2021",,,"€ 4,940,000",,F,,28.0,Starter,Germany,,,Werder Bremen,Bundesliga,2022-2023,,,,,"Jun 30, 2024",2.0,,,,,,,,CF,
486,Niclas Füllkrug,"€ 44,231","€ 2,300,000",,"Jul 17, 2022",,,"€ 6,900,000",,F,,29.0,Starter,Germany,,,Werder Bremen,Bundesliga,2022-2023,,,,,"Jun 30, 2025",3.0,,,,,,,,CF,
487,Anthony Jung,"€ 43,462","€ 2,260,000",,"Jul 1, 2021",,,"€ 2,260,000",,D,,31.0,Starter,Germany,,,Werder Bremen,Bundesliga,2022-2023,,,,,"Jun 30, 2023",1.0,,,,,,,,LB,
488,Maximilian Philipp,"€ 40,385","€ 2,100,000",,"Jan 30, 2023",,,"€ 2,100,000",,F,,28.0,Reserve,Germany,,,Werder Bremen,Bundesliga,2022-2023,,,,,"Jun 30, 2023",1.0,,,,,,,,SS,
489,Mitchell Weiser,"€ 38,077","€ 1,980,000",,"Jul 15, 2022",,,"€ 3,960,000",,D,,28.0,Starter,Germany,,,Werder Bremen,Bundesliga,2022-2023,,,,,"Jun 30, 2024",2.0,,,,,,,,RB,
490,Leonardo Bittencourt,"€ 30,769","€ 1,600,000",,"Oct 26, 2022",,,"€ 1,600,000",,F,,29.0,Starter,Germany,,,Werder Bremen,Bundesliga,2022-2023,,,,,"Jun 30, 2023",1.0,,,,,,,,AM,
491,Niklas Stark,"€ 27,692","€ 1,440,000",,"Jul 1, 2022",,,"€ 5,760,000",,D,,27.0,Starter,Germany,,,Werder Bremen,Bundesliga,2022-2023,,,,,"Jun 30, 2026",4.0,,,,,,,,CB,
492,Milos Veljkovic,"€ 17,692","€ 920,000",,"Jun 11, 2022",,,"€ 2,760,000",,D,,27.0,Starter,Serbia,,,Werder Bremen,Bundesliga,2022-2023,,,,,"Jun 30, 2025",3.0,,,,,,,,CB,
493,Amos Pieper,"€ 14,423","€ 750,000",,"Jul 1, 2022",,,"€ 3,000,000",,D,,25.0,Starter,Germany,,,Werder Bremen,Bundesliga,2022-2023,,,,,"Jun 30, 2026",4.0,,,,,,,,CB,
494,Ilia Gruev,"€ 13,846","€ 720,000",,"Jun 26, 2022",,,"€ 2,160,000",,M,,22.0,Reserve,Bulgaria,,,Werder Bremen,Bundesliga,2022-2023,,,,,"Jun 30, 2025",3.0,,,,,,,,DM,
495,Felix Agu,"€ 11,538","€ 600,000",,"Feb 6, 2022",,,"€ 1,200,000",,D,,23.0,Reserve,Germany,,,Werder Bremen,Bundesliga,2022-2023,,,,,"Jun 30, 2024",2.0,,,,,,,,RB,
496,Jens Stage,"€ 11,538","€ 600,000",,"Jul 1, 2022",,,"€ 2,400,000",,M,,26.0,Starter,Denmark,,,Werder Bremen,Bundesliga,2022-2023,,,,,"Jun 30, 2026",4.0,,,,,,,,CM,
497,Marco Friedl,"€ 11,154","€ 580,000",,"Jul 1, 2022",,,"€ 2,320,000",,D,,24.0,Reserve,Austria,,,Werder Bremen,Bundesliga,2022-2023,,,,,"Jun 30, 2026",4.0,,,,,,,,CB,
498,Christian Groß,"€ 5,577","€ 290,000",,"Oct 5, 2021",,,"€ 290,000",,M,,33.0,Starter,Germany,,,Werder Bremen,Bundesliga,2022-2023,,,,,"Jun 30, 2023",1.0,,,,,,,,DM,
499,Lee Buchanan,"€ 5,192","€ 270,000",,"Jul 4, 2022",,,"€ 1,080,000",,D,,21.0,Reserve,England,,,Werder Bremen,Bundesliga,2022-2023,,,,,"Jun 30, 2026",4.0,,,,,,,,LB,
500,Romano Schmid,"€ 4,038","€ 210,000",,"Apr 2, 2022",,,"€ 630,000",,F,,23.0,Reserve,Austria,,,Werder Bremen,Bundesliga,2022-2023,,,,,"Jun 30, 2025",3.0,,,,,,,,AM,
501,Eduardo Dos Santos Haesler,"€ 4,038","€ 210,000",,"Jul 25, 2019",,,"€ 420,000",,K,,23.0,Reserve,Germany,,,Werder Bremen,Bundesliga,2022-2023,,,,,"Jun 30, 2024",2.0,,,,,,,,GK,
502,Eren Dinkci,"€ 3,846","€ 200,000",,"Apr 4, 2022",,,"€ 600,000",,F,,21.0,Reserve,Germany,,,Werder Bremen,Bundesliga,2022-2023,,,,,"Jun 30, 2025",3.0,,,,,,,,CF,
503,Michael Zetterer,"€ 2,885","€ 150,000",,"Feb 6, 2019",,,"€ 150,000",,K,,27.0,Reserve,Germany,,,Werder Bremen,Bundesliga,2022-2023,,,,,"Jun 30, 2023",1.0,,,,,,,,GK,
504,Niklas Schmidt,"€ 2,500","€ 130,000",,"Oct 2, 2021",,,"€ 390,000",,F,,24.0,Reserve,Germany,,,Werder Bremen,Bundesliga,2022-2023,,,,,"Jun 30, 2025",3.0,,,,,,,,AM,
505,Jean Manuel Mbom,"€ 2,115","€ 110,000",,"Jul 1, 2018",,,"€ 110,000",,M,,22.0,Reserve,Germany,,,Werder Bremen,Bundesliga,2022-2023,,,,,"Jun 30, 2023",1.0,,,,,,,,CM,
506,Fabio Chiarodia,"€ 1,346","€ 70,000",,"Oct 7, 2021",,,"€ 140,000",,D,,17.0,Reserve,Italy,,,Werder Bremen,Bundesliga,2022-2023,,,,,"Jun 30, 2024",2.0,,,,,,,,CB,
507,Dikeni Salifou,"€ 1,154","€ 60,000",,"Jul 1, 2022",,,"€ 60,000",,M,,19.0,Reserve,Togo,,,Werder Bremen,Bundesliga,2022-2023,,,,,"Jun 30, 2023",1.0,,,,,,,,DM,
508,Louis Lord,"€ 1,154","€ 60,000",,,,,"€ 60,000",,K,,19.0,Reserve,Germany,,,Werder Bremen,Bundesliga,2022-2023,,,,,"Jun 30, 2023",1.0,,,,,,,,GK,
509,Mio Backhaus,€ 962,"€ 50,000",,,,,"€ 50,000",,K,,18.0,Reserve,Germany,,,Werder Bremen,Bundesliga,2022-2023,,,,,"Jun 30, 2023",1.0,,,,,,,,GK,
510,Total,"€ 437,114","€ 22,730,000",€ 0,,,,"€ 53,140,000",€ 0,,,,,,,,Werder Bremen,Bundesliga,2022-2023,,,,,,,,,,,,,,,
511,Maximilian Arnold,"€ 105,769","€ 5,500,000",,"Feb 12, 2021",,4.0,"€ 22,000,000",,M,,28.0,Starter,Germany,,,Wolfsburg,Bundesliga,2022-2023,,,"Jun 30, 2026",,,,,,,,,,,,CM
512,Yannick Gerhardt,"€ 69,231","€ 3,600,000",,"Jan 29, 2021",,3.0,"€ 10,800,000",,M,,28.0,Starter,Germany,,,Wolfsburg,Bundesliga,2022-2023,,,"Jun 30, 2025",,,,,,,,,,,,CM
513,Koen Casteels,"€ 65,385","€ 3,400,000",,"Dec 11, 2019",,2.0,"€ 6,800,000",,K,,30.0,Starter,Belgium,,,Wolfsburg,Bundesliga,2022-2023,,,"Jun 30, 2024",,,,,,,,,,,,GK
514,Josuha Guilavogui,"€ 55,385","€ 2,880,000",,"May 18, 2019",,1.0,"€ 2,880,000",,M,,32.0,Reserve,France,,,Wolfsburg,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,,,,,,,,,DM
515,Mattias Svanberg,"€ 54,423","€ 2,830,000",,"Jul 16, 2022",,5.0,"€ 14,150,000",,M,,24.0,Starter,Sweden,,,Wolfsburg,Bundesliga,2022-2023,,,"Jun 30, 2027",,,,,,,,,,,,CM
516,Jonas Wind,"€ 39,231","€ 2,040,000",,"Jan 31, 2022",,4.0,"€ 8,160,000",,F,,23.0,Starter,Denmark,,,Wolfsburg,Bundesliga,2022-2023,,,"Jun 30, 2026",,,,,,,,,,,,CF
517,Luca Waldschmidt,"€ 38,462","€ 2,000,000",,"Aug 22, 2021",,3.0,"€ 6,000,000",,F,,26.0,Reserve,Germany,,,Wolfsburg,Bundesliga,2022-2023,,,"Jun 30, 2025",,,,,,,,,,,,SS
518,Patrick Wimmer,"€ 38,077","€ 1,980,000",,"Jul 1, 2022",,5.0,"€ 9,900,000",,F,,21.0,Starter,Austria,,,Wolfsburg,Bundesliga,2022-2023,,,"Jun 30, 2027",,,,,,,,,,,,RW
519,Sebastiaan Bornauw,"€ 35,192","€ 1,830,000",,"Jul 16, 2021",,4.0,"€ 7,320,000",,D,,23.0,Starter,Belgium,,,Wolfsburg,Bundesliga,2022-2023,,,"Jun 30, 2026",,,,,,,,,,,,CB
520,Jakub Kaminski,"€ 19,615","€ 1,020,000",,"Jul 1, 2022",,5.0,"€ 5,100,000",,F,,20.0,Starter,Poland,,,Wolfsburg,Bundesliga,2022-2023,,,"Jun 30, 2027",,,,,,,,,,,,LW
521,Bartol Franjic,"€ 18,077","€ 940,000",,"Jul 1, 2022",,5.0,"€ 4,700,000",,M,,23.0,Reserve,Croatia,,,Wolfsburg,Bundesliga,2022-2023,,,"Jun 30, 2027",,,,,,,,,,,,DM
522,Kilian Fischer,"€ 18,077","€ 940,000",,"Jul 1, 2022",,5.0,"€ 4,700,000",,D,,22.0,Reserve,Germany,,,Wolfsburg,Bundesliga,2022-2023,,,"Jun 30, 2027",,,,,,,,,,,,RB
523,Kevin Paredes,"€ 17,308","€ 900,000",,"Jan 28, 2022",,4.0,"€ 3,600,000",,M,,19.0,Reserve,United States,,,Wolfsburg,Bundesliga,2022-2023,,,"Jun 30, 2026",,,,,,,,,,,,LM
524,Pavao Pervan,"€ 15,385","€ 800,000",,"Jan 29, 2022",,2.0,"€ 1,600,000",,K,,35.0,Reserve,Austria,,,Wolfsburg,Bundesliga,2022-2023,,,"Jun 30, 2024",,,,,,,,,,,,GK
525,Lukas Nmecha,"€ 11,923","€ 620,000",,"Jul 16, 2021",,3.0,"€ 1,860,000",,F,,24.0,Reserve,Germany,,,Wolfsburg,Bundesliga,2022-2023,,,"Jun 30, 2025",,,,,,,,,,,,CF
526,Ridle Baku,"€ 11,538","€ 600,000",,"Oct 1, 2020",,3.0,"€ 1,800,000",,D,,24.0,Starter,Germany,,,Wolfsburg,Bundesliga,2022-2023,,,"Jun 30, 2025",,,,,,,,,,,,RB
527,Paulo Otávio,"€ 9,231","€ 480,000",,"Jul 1, 2019",,1.0,"€ 480,000",,D,,28.0,Starter,Brazil,,,Wolfsburg,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,,,,,,,,,LB
528,Dzenan Pejcinovic,"€ 8,654","€ 450,000",,"Jul 14, 2022",,5.0,"€ 2,250,000",,F,,17.0,Reserve,Germany,,,Wolfsburg,Bundesliga,2022-2023,,,"Jun 30, 2027",,,,,,,,,,,,CF
529,Micky van de Ven,"€ 8,077","€ 420,000",,"Aug 31, 2021",,3.0,"€ 1,260,000",,D,,21.0,Starter,Netherlands,,,Wolfsburg,Bundesliga,2022-2023,,,"Jun 30, 2025",,,,,,,,,,,,CB
530,Omar Marmoush,"€ 4,423","€ 230,000",,"Jul 1, 2020",,1.0,"€ 230,000",,F,,23.0,Reserve,Egypt,,,Wolfsburg,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,,,,,,,,,LW
531,Maxence Lacroix,"€ 3,654","€ 190,000",,"Sep 30, 2021",,3.0,"€ 570,000",,D,,22.0,Reserve,France,,,Wolfsburg,Bundesliga,2022-2023,,,"Jun 30, 2025",,,,,,,,,,,,CB
532,Felix Nmecha,"€ 2,115","€ 110,000",,"Jul 21, 2021",,2.0,"€ 220,000",,F,,22.0,Reserve,Germany,,,Wolfsburg,Bundesliga,2022-2023,,,"Jun 30, 2024",,,,,,,,,,,,AM
533,Niklas Klinger,"€ 1,154","€ 60,000",,"Apr 8, 2021",,1.0,"€ 60,000",,K,,27.0,Reserve,Germany,,,Wolfsburg,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,,,,,,,,,GK
534,Philipp Schulze,€ 962,"€ 50,000",,"Jul 1, 2021",,1.0,"€ 50,000",,K,,20.0,Reserve,Germany,,,Wolfsburg,Bundesliga,2022-2023,,,"Jun 30, 2023",,,,,,,,,,,,GK
535,Nicolas Cozza,€ 0,€ 0,,"Jan 25, 2023",,5.0,€ 0,,D,,24.0,Reserve,France,,,Wolfsburg,Bundesliga,2022-2023,,,"Jun 30, 2027",,,,,,,,,,,,LB
536,Total,"€ 651,348","€ 33,870,000",€ 0,,,,"€ 116,490,000",€ 0,,,,,,,,Wolfsburg,Bundesliga,2022-2023,,,,,,,,,,,,,,,
